#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSProviderFeature
"ProviderNameSpace","ProviderName","FeatureName","RegistrationState"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","flexibleServerDatabases","NotRegistered"
"Microsoft.SecurityDevOps","Microsoft.SecurityDevOps","DfdGitHubConnector","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableApplicationGatewaySubnetPermissionCheck","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowDeleteAddressPrefixesOnSubnet","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","PreviewGuardRails","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","CapacityReservationGroupPreview","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","DedicatedHostGroupPreview","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","spotPriorityContainerGroup","NotRegistered"
"Microsoft Web Apps","Microsoft.Web","ASEPrivateLinkHost","NotRegistered"
"Microsoft.Kusto","Microsoft.Kusto","UseComputeSubscriptionAMD","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","haServerAdditionalIOPs","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","openAI1PFtModel","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","Container.TA.IssueResolutionSummarization","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-MWH","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-CDM","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-BY1","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-DM1","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-SN6","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-DB3","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-AM5","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-HKN","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","Region-Route-BL2","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","marlinWorkbooks","NotRegistered"
"Microsoft.LoadTestService","Microsoft.LoadTestService","DeprecatedAPIVersion","NotRegistered"
"Microsoft Compute","Microsoft.Compute","InGuestAutoPatchVmssUniformPreview","NotRegistered"
"Microsoft.DataProtection","Microsoft.DataProtection","BlobVaultedBackup","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableApplicationGatewayTlsProxyBackendHealth","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDb","MongoTest","NotRegistered"
"Microsoft Compute","Microsoft.Compute","AHBEnabledForPAYG","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","ManagedClusterSnapshotPreview","NotRegistered"
"Microsoft.AzureArcData","Microsoft.AzureArcData","ArcDataActiveDirectory","NotRegistered"
"Microsoft Managed Identity","Microsoft.ManagedIdentity","FederatedIdentityCredentials","NotRegistered"
"Microsoft Storage","Microsoft.Storage","PremiumFilesFirstTierWithBurstSettings","NotRegistered"
"Microsoft Event Grid","Microsoft.eventgrid","BypassPartnerAuthorizationFeature","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMoveLinks","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","enableMoveLinks","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMarlinLogs","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","offlineMigrations","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","smartSwitchConfigExperience","NotRegistered"
"Microsoft Databricks","Microsoft.Databricks","EnableAccessConnectorPreview","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","enableSameZoneHA","NotRegistered"
"Microsoft IoT Security","Microsoft.IotSecurity","PrivatePreviewParticipation","NotRegistered"
"Microsoft Storage","Microsoft.Storage","AllowPremiumBlockBlobsInMicroRegions","NotRegistered"
"Microsoft Storage","Microsoft.Storage","PartitionedDnsPublicPreview","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","RollingTest01","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","RollingTest02","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","RollingTest03","NotRegistered"
