ProviderNamespace                                        ProviderName                             FeatureName
Microsoft Storage                                        Microsoft.Storage                        PartitionedDnsPublicPreview
Microsoft.Cdn                                            Microsoft.Cdn                            RollingTest01
Microsoft.Cdn                                            Microsoft.Cdn                            RollingTest02
Microsoft.Cdn                                            Microsoft.Cdn                            RollingTest03
Microsoft.Cdn                                            Microsoft.Cdn                            RollingTest04
Microsoft.Cdn                                            Microsoft.Cdn                            RollingTest05
Microsoft.Cdn                                            Microsoft.Cdn                            RollingTest06
Microsoft Databricks                                     Microsoft.Databricks                     EnableDatabricks20220401PreviewApiVersion
Microsoft.Cdn                                            Microsoft.Cdn                            BypassPreflightValidation
Microsoft Event Grid                                     Microsoft.eventgrid                      PartnerAuthorizationFeature
Microsoft Data Replication                               Microsoft.DataReplication                PPEAccess
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     geoRestoreForNonZRServer
Microsoft Logic                                          Microsoft.Logic                          ISVSubscription
Microsoft Container Service                              microsoft.ContainerService               AKSInfinibandSupport
Microsoft Container Service                              microsoft.ContainerService               EnableAPIServerVnetIntegrationPreview
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableBackupAndRestoreBlade
Microsoft Storage                                        Microsoft.Storage                        AllowDataSharing
Microsoft Network                                        Microsoft.Network                        AllowSpecificIpAddressInPublicIP
Microsoft Container Instance                             Microsoft.ContainerInstance              ContainerScaleSetsPreview1
Microsoft Compute                                        Microsoft.Compute                        VMScaleSetFlexPriorityMix
Microsoft Compute                                        Microsoft.Compute                        UseForceDeleteOnEviction
Microsoft Compute                                        Microsoft.Compute                        SpotTryRestoreFastRestoration
-                                                        GitHub.Enterprise                        PreviewRegion
Microsoft Search                                         Microsoft.Search                         HOBOv2Support
Microsoft Network                                        Microsoft.Network                        FastPathMigrationEnabled
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.NeuralLimimt50
Microsoft Search                                         Microsoft.Search                         InternalFeatures
Microsoft Compute                                        Microsoft.Compute                        EncryptionAtRestWithCrossTenantKey
-                                                        Test.shoebox                             TestInProduction
Microsoft Container Service                              microsoft.ContainerService               AKS-KedaPreview
-                                                        Microsoft.PlayFab                        scus
-                                                        Microsoft.PlayFab                        eus2
Microsoft DocumentDB                                     Microsoft.DocumentDb                     APIForMongoDbRBAC
Microsoft DocumentDB                                     Microsoft.DocumentDb                     APIForMongoDbUniqueReindex
Microsoft.Cdn                                            Microsoft.Cdn                            EnableZtna
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  Routing-SecondaryCanaryEastUS2EUAP
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  Routing-SecondaryCanaryCentralUSEUAP
Microsoft.AlertsManagement                               microsoft.alertsmanagement               prometheusRulesInt
Microsoft Container Service                              microsoft.ContainerService               CustomConfiguration
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                citusLargeScaleStorage
Microsoft.Syntex                                         microsoft.syntex                         PrivatePreview
-                                                        Microsoft.SecurityDevOps                 AlphaRegions
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableEditPrivateDns
Microsoft Container Service                              microsoft.ContainerService               CustomCATrustPreview
-                                                        Microsoft.ApiSecurity                    PP2CanaryAccessDEV
